"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"58",0.41,0.3,435.03,874.5,0.36,891.69,0.41,1066.05,0.24,1252.81,1221.42,881.98,561.44,0.33,0.52,0.31,0.36,0.36,0.59,0.27,0.46,0.29,0.51,164.31,0.35,912.8,334.11,0.48,0.37,0.4,621.63,0.31,763.19,0.48,0.46,0.41,1662.46,0.38,0.36,0.42,0.74,2158.89,0.35,0.35,1159.51,0.64,0.32,1882.27,2592.71,448.6
"59",3453.29,3413.96,2607.48,2451.39,1983.78,1.22,958.78,2587.16,963.55,1070.74,1154.83,116.56,3719.41,1.13,401.09,2442.28,1.23,649.77,2058.03,726.16,1302.29,716.76,2953.08,453.13,1.2,1056.85,2591,3438.9,186.66,702.8,2048.93,1.06,1.6,4856.7,2003.72,2023.22,1.34,6012.04,472.51,1978.3,2317.12,1814.71,477.98,4511.55,2746.21,2120.14,698.98,1,743,2672.28
"60",0.12,0.03,0.04,0.06,0.04,0.04,0.04,0.03,977.62,0.03,0.03,0.04,0.03,0.03,0.06,0.14,0.04,0.06,0.07,0.03,0.18,0.03,0.06,0.04,0.04,0.04,0.19,467.27,0.04,0.04,0.05,0.06,0.05,0.05,0.09,0.16,1506.39,0.04,0.04,0.04,0.2,0.04,0.03,0.07,0.04,0.08,0.05,881.29,0.22,0.04
"61",0.12,0.09,0.11,662.88,0.1,0.1,0.12,0.09,0.07,0.1,0.09,0.12,0.07,0.1,0.15,0.09,0.1,476.16,0.17,0.08,0.13,476.45,0.15,0.11,0.1,0.12,0.12,0.14,0.11,0.12,0.14,571.68,0.13,0.14,0.13,0.12,0.11,0.11,477.02,1393.99,0.21,1948.59,0.1,0.1,0.12,0.18,0.09,0.09,0.27,0.11
"62",0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.01,0.01,0.1,590.84,0.17,0.01,0.01,0.05,0.02,0.02,0.02,229.88,772.82,0.02,0.02,0.2,0.03,0.03,0.02,0.03,0.06,0.02,0.02,0.19,0.01,0.02,0.02,0.02,0.16,0.06,0.02,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.04,0.02,0.01,0.05,0.02
"63",977.46,1325.62,0.04,1262.12,1701.08,0.12,0.14,0.02,0.02,0.17,0.03,780.43,0.02,664.21,0.17,361.82,0.04,0.13,0.05,0.03,0.09,0.09,0.05,337.9,0.05,0.12,0.19,65.48,0.11,0.04,0.18,142.19,0.09,0.2,918.67,966.43,0.16,0.04,583.49,0.07,0.13,0.22,0.17,563.2,0.04,0.06,0.06,4723.64,0.42,0.13
"64",0.1,794.48,0.19,0.08,0.17,0.06,913.41,0.12,1815.7,408.91,0.03,0.09,858.84,0.05,0.22,732.45,0.07,2718.39,0.14,0.01,0.14,0.01,301.86,293.99,746.62,559,0.04,0.06,209.94,0.07,3801.23,0.05,507.46,0.09,1502.46,2917.39,0.07,1004.03,1721.88,0.12,2328.9,2021.38,2789.46,1083.85,627.88,2976.46,961.69,512.91,1391.44,0.24
"65",2.39,2384.73,1879.09,2894.39,6087.36,984.98,1.61,779.42,3770.93,6499.55,3121.58,1588.24,1636.6,4579.52,5257.67,1152.85,5917.14,3418.1,3911.63,5468.22,2896.14,2103.78,5927.2,3868.97,3569.37,2357.81,2179.82,823.56,1453,1090,2.18,2383.5,6534.24,2974.92,4025.06,1489.75,560.45,4300.16,2805.17,1567.2,222.82,4405.8,603.3,1205.76,3868.73,1828.46,1920.77,5240.95,4.36,1513.6
"66",0.14,0.11,0.14,0.18,0.13,0.13,0.14,2349,0.08,0.12,0.11,1601.58,0.08,0.12,0.18,0.11,0.13,0.13,0.21,1133,1075.43,0.1,0.18,348.55,0.12,0.15,380.66,0.17,0.13,0.14,0.17,0.11,0.16,0.17,0.16,0.15,0.14,0.14,696.16,0.15,0.26,0.15,0.12,1094.84,0.14,0.23,0.11,0.1,0.33,0.13
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",255.41,0.23,0.3,0.4,0.27,2709.21,0.31,0.22,745.04,1590.14,0.23,0.32,651.92,358.39,1250.7,0.23,0.27,0.27,0.45,0.2,385.76,0.22,619.32,0.28,736.6,0.31,0.31,0.36,91.02,39.44,0.36,798.45,0.35,700.95,282.05,0.31,565.01,0.29,401.32,0.31,0.56,0.31,0.26,2058.68,427.51,0.49,0.24,399.83,0.7,0.28
"69",0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,735.62,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.05,0.02
"70",0.25,0.19,283.18,701.8,0.22,2339.9,0.25,0.18,0.15,2610.14,0.19,0.26,0.15,0.21,0.32,0.19,2830.14,0.22,0.37,0.17,94.87,558.27,362.45,926.62,0.22,0.26,0.26,0.3,0.23,32,0.3,0.2,312.63,0.3,846.99,1080.2,0.24,0.24,0.22,0.26,0.46,3344.98,0.22,2800.59,0.25,0.4,756.75,966.39,0.58,0.23
"71",0.28,0.21,0.28,520.56,0.25,1264.88,651.13,0.21,0.17,0.23,512.52,0.3,660.08,217.44,183.86,364.98,259.56,1381.87,0.41,0.19,191.88,310.4,418.96,0.26,1121.72,385.71,1133.24,0.33,0.26,418.22,0.34,0.22,0.33,0.33,0.32,0.29,0.28,3373.86,0.25,0.29,0.51,0.29,974.82,1606.82,0.28,0.45,3488.4,0.21,0.65,0.26
"72",1378.66,0,0.08,0.09,0.05,0.06,0.03,1067.77,0.16,0,0.05,0.03,0,0.04,0.04,0,115.92,150.98,0.05,0.03,0.03,0.02,0.01,0.16,0,0,0.03,214.79,0.01,164.14,0.18,0.05,0.01,909.24,0,0.01,0.03,0,0.01,0.07,0.01,0,0.02,0.01,0.32,0.02,0,0,0.03,601.9
"73",226.89,0.28,3255.39,0.45,812.91,2283.48,1624.06,3538.76,1815.9,0.31,2319.82,0.36,0.19,0.3,0.44,0.28,0.33,0.33,0.51,706.5,0.42,0.24,0.47,0.34,0.3,0.35,0.38,778.11,445.42,166.52,245.98,0.28,740.31,3134.88,0.42,0.35,0.33,0.32,2174.33,0.35,0.65,0.35,3777.77,876.85,0.37,4529.49,0.26,0.26,516.39,741.12
"74",0.01,0,0.01,0.06,0,0.04,0.05,0,0.11,0.01,0,0.03,0.01,0.03,0.04,0.01,0.03,174.45,0.01,0,311.8,0,0.02,0.01,0.01,0.02,0.04,0.34,0.01,0,0.06,687.79,0.02,0.01,0.01,0.02,1500.4,0.01,0.01,0.01,1903.76,0.01,0.02,634.46,0.03,0.01,0,4599.86,0.08,0.04
"75",6845.14,3480.81,1753.86,3876.1,3083.15,0.63,14665.27,3749.57,5524.54,3116.1,0.53,0.76,0.38,919.62,2576.55,1124.13,2612.62,325.98,458.32,776.28,1062.12,0.5,371.27,554.26,697.47,1105.44,0.74,2093.07,2511.47,1228.54,0.88,647.98,281.42,3416.39,3663.32,1771.11,1273.66,1783.25,1082.1,0.74,4389.96,5342.56,552.88,2659.87,4626.55,1822.58,452.06,2499.84,529.83,2587.91
"76",358.26,0.07,640.61,0.14,0.08,0.09,0.1,0.06,0.05,0.07,0.07,0.11,0.05,0.6,0.14,1072.22,0.09,1704.6,424.5,0.06,0.2,0.06,0.14,0.09,0.17,0.1,0.1,0.13,0.16,0.18,0.13,0.07,0.12,0.13,0.12,0.1,0.1,0.09,0.09,0.1,0.23,769.29,458.71,0.08,0.1,0.19,0.07,400.42,0.33,0.09
"77",0.04,0.03,0.04,0.06,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.06,0.03,0.04,0.04,0.06,0.03,0.05,832.61,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.03,1060.14,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.07,0.03,0.03,0.1,0.04
"78",0.09,0.06,0.08,1126.31,0.07,0.07,0.09,788.07,0.04,0.07,0.06,0.09,0.04,0.07,0.12,0.06,0.07,0.07,0.15,0.05,0.1,0.06,0.12,0.08,0.07,0.09,0.09,0.11,286.89,549.02,0.11,0.06,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.09,0.2,0.09,0.07,0.07,0.09,1259.73,0.06,0.06,0.28,0.08
"79",0.17,0.12,0.16,265.1,0.15,42.65,0.17,0.12,0.1,1442,0.13,0.17,0.1,437.17,0.21,0.13,0.15,0.15,0.24,0.11,29.29,0.12,0.21,0.15,595.65,0.17,0.17,0.2,792.54,0.17,0.2,912.67,0.19,0.2,0.19,0.17,0.16,0.16,0.15,0.17,0.3,1188.56,0.14,0.14,0.16,2935.13,0.13,0.12,623.07,1608.8
"80",0,0,0,0,0,0.01,0.01,0.01,0.07,0,0,0.02,491.77,0,0.07,0,1822.86,0.2,0.03,0,0,0.06,0,0.02,0.03,0,0,0.03,0,0.04,0,0,0,418.98,0,0,0.02,0.01,0,0,0,0.01,0.02,0.01,0,0,0.04,0,0.04,0
"81",1298.04,0.49,1359.31,1.48,1503.88,0.78,515.24,2682.87,2528.54,279.74,3622.34,1526.69,2055.94,2967.35,5417.65,1626.49,2047.93,391.41,1877.49,948.52,3125.05,3093.26,1.66,519.92,1674.07,1471.34,987.75,4098.62,1825.67,1588.57,0.5,1453.72,730.59,1.15,0.43,0.34,1754.5,2565.06,609.34,1.04,1.16,0.36,1048.68,0.3,0.51,861.7,0.51,1091.25,1.2,2275.04
"82",3704.4,0.2,0.25,0.32,2692.55,1507.32,1206.18,0.15,947.65,70.68,0.25,0.23,1283.69,314.71,0.27,599.45,0.23,0.19,0.46,0.16,168.86,0.15,0.41,273.68,270.25,470.37,534.32,499.29,0.23,0.24,1441.34,6136.72,4605.26,1405.64,13673.92,1565.04,2409.75,4154.44,1686.37,3019.62,1332.44,5503.09,2919.74,961.26,2758.48,1455.17,5697.31,1057.94,2.6,2661
"83",676.77,0.02,0.42,0.16,0.03,0.09,559.43,1164.77,0.08,0.07,0.08,0.12,506.65,0.13,0.15,0.27,0.1,0.08,0.13,0.04,0.2,0.02,101.26,137.74,0.09,0.03,376.16,900.51,0.05,0.2,0.7,1413.26,0.09,0.17,0.14,908.97,772.09,0.1,0.33,0.27,0.7,0.11,0.27,0.03,704.71,0.21,0.08,0.1,203.12,0.22
"84",0.16,0.12,0.15,0.2,0.14,0.14,0.16,0.12,1076.79,0.13,0.12,0.17,0.09,0.13,1501.91,0.12,1567.37,1871.01,0.23,0.1,264.47,444.23,0.2,0.14,1847.9,0.16,0.16,0.19,0.14,0.16,0.19,0.12,0.18,1997.52,0.18,0.16,0.15,0.15,0.14,0.16,0.28,0.16,0.14,0.14,0.16,0.25,0.12,0.12,0.36,0.15
"85",0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,609.15,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.05,0.02
"86",230.99,0.17,3913.57,0.3,755.12,126.78,0.23,0.17,921.95,0.19,0.18,0.24,0.13,937.46,0.29,0.17,0.2,0.2,0.33,1721.06,0.26,1235.68,0.29,0.21,0.2,484.25,0.23,0.27,0.21,0.23,0.27,979.39,0.26,0.27,0.26,178.96,0.22,0.22,0.2,0.23,0.42,654.68,0.2,0.2,490.47,2797.98,3215.39,1217.3,0.53,0.21
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0.02,0.01,0,0,0.01,0,0.04,0,649.9,0,0,0.01,284.15,0,0,438.23,0.01,0.01,0.02,0,0,0,0,0.01,0,0,638.45,0.06,0,0,0.06,0,0.04,0,3113.45,0.01,1018.17,0.06,0,0,0,0.16,0.04,0.01,0.01,0.08,471.64,0,3831.08,0
"89",1194.63,1249.46,1807.33,0.5,610.84,1338.87,4488.4,4817.19,1047.38,4371.91,0.31,0.39,0.2,602.99,0.49,1126.16,721.4,710.94,0.58,825.64,438.2,0.25,302.07,310.78,0.32,0.38,438.65,814.57,858.32,1393.09,1.85,486.62,764.84,1213.43,936.11,0.38,0.36,0.34,1610.92,0.38,0.75,0.38,3920.25,0.35,954.72,2133.03,0.28,224.68,213.24,0.38
"90",0.19,0.14,0.19,1377.2,0.17,4494.54,637.21,0.14,0.11,0.16,0.15,0.2,0.11,734.22,426.7,0.15,1641.75,1980.09,0.28,0.13,0.22,0.14,0.24,0.18,0.17,472.3,1611.82,0.23,0.18,0.19,145.79,0.15,0.22,0.23,0.22,0.2,0.19,0.18,0.17,0.2,1803.67,0.2,0.16,0.16,830.9,0.3,0.15,894.69,0.44,0.18
"91",0.05,0.04,0.05,0.07,0.04,0.04,0.05,0.04,0.03,0.04,0.04,233.6,0.03,0.04,0.07,0.04,0.04,0.04,0.08,0.03,0.06,0.03,0.07,0.05,0.04,1455.06,0.05,0.06,0.05,0.05,0.06,0.04,0.06,0.06,0.06,0.05,0.05,0.05,122.36,1179.79,0.11,0.05,0.04,0.04,0.05,0.09,0.04,0.04,0.15,0.05
"92",0.02,0,0,510.9,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0.01,0.01,0.14,0,0,0,0,0,0,0,0,0.02,0.01,1012.94,0,0,0,0.03,0,0,0,0,0.07,0.06,0.01,0,0.04,0.09,0,0.03,0,0.04,0.02,2878.82
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,724.95,0.02,0.02,0.05,0.02
"95",0.02,0,3884.5,941.71,1080.58,0.04,0.06,0,0,0,0.04,0.01,0,372.28,0.15,0.02,0,0,2037.11,0.08,0.05,0.02,325.92,0.09,0,0.04,946.94,716.21,451.88,0.09,196.28,1133.71,0,0,0.05,0,0.06,0.02,0,2101.15,0.01,0.09,0.01,0,0,0.01,468.21,0,6293.9,0.09
"96",0.07,0.05,0.06,0.09,0.06,0.06,0.07,0.05,0.04,0.05,0.05,0.07,274.82,0.05,0.08,0.05,0.06,0.06,0.1,0.04,0.07,0.05,0.08,0.06,0.06,0.07,0.07,0.08,0.06,0.06,0.08,0.05,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.12,0.07,1035.47,0.06,0.06,0.1,0.05,1526.48,0.15,2457.31
"97",0.1,0.08,0.1,0.13,0.09,0.09,0.1,0.07,0.06,1005.26,0.08,0.11,0.06,0.08,0.13,0.08,0.09,0.09,0.15,0.07,0.12,797.25,0.13,0.09,0.09,0.1,0.1,558.78,0.09,0.1,0.12,0.08,0.12,199.01,0.11,0.1,315.51,0.1,0.09,0.1,0.18,0.1,0.09,0.09,0.1,0.16,0.08,0.07,0.23,1509.46
"98",0.02,0.06,0.55,0.52,0.02,0.01,0.01,0.04,0.06,0.01,0.13,0.68,289.12,518.99,636.89,0.2,0.3,0.33,642.23,0.07,253.64,1118.03,1066.18,395.42,0.26,1036.78,2018.28,685.84,2249.36,0.17,0.02,0.04,0.02,0.01,0.03,0.03,0.07,0.11,0.02,0.13,0.17,0.02,0.01,0.03,0.01,0.04,0.01,0,0.03,0
"99",0.09,682.96,2076.05,0.11,0.07,0.07,0.09,0.06,0.05,0.07,0.06,4651.96,0.05,0.07,3162.1,0.06,0.08,0.07,0.12,0.06,0.1,0.06,0.11,0.08,0.07,0.09,0.09,0.1,0.08,471.16,0.1,0.06,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.09,0.15,0.09,0.07,0.07,0.08,0.13,7347.91,0.06,0.19,0.08
"100",0.32,3357.99,0.31,0.41,0.28,0.28,0.32,0.23,921.19,0.26,0.24,698.72,1165.45,0.26,0.4,619.37,396.3,690.03,631.7,0.21,0.36,0.23,0.4,691.21,0.28,0.32,841.71,0.38,0.29,227.76,0.38,0.25,1076.61,0.38,1078.35,0.32,1760.78,0.3,0.28,0.33,0.58,0.32,1051.72,929.51,0.31,901.1,0.25,0.23,0.73,0.3
